,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,Fireplaces,GarageYrBlt,GarageCars,GarageArea,MSZoning,Neighborhood,BsmtQual,BsmtFinType1,CentralAir,GarageType,SalePrice
59,5,1972,1972,780,780,780,0,1973.0,1,352,RL,CollgCr,TA,ALQ,Y,Detchd,11.73526869611367
60,6,2004,2004,1158,1158,1158,0,2006.0,2,576,RL,SawyerW,Gd,ALQ,Y,Detchd,11.970350312009105
61,5,1920,1996,530,581,1111,0,1935.0,1,288,RM,IDOTRR,TA,Unf,N,Detchd,11.522875795823397
62,8,2006,2006,1370,1370,1370,1,2006.0,2,484,RL,NridgHt,Gd,GLQ,Y,Attchd,12.218495165528731
63,7,1921,1950,576,902,1710,0,1990.0,2,480,RM,OldTown,TA,Unf,Y,Detchd,11.84939770159144
64,7,1997,1998,1057,1057,2034,0,1998.0,2,645,RL,CollgCr,Gd,GLQ,Y,Attchd,12.299107511497363
65,8,2004,2005,1143,1143,2473,1,2004.0,3,852,RL,NridgHt,Ex,Unf,Y,BuiltIn,12.666657052859417
66,7,1970,1989,1947,2207,2207,1,1970.0,2,576,RL,NAmes,Gd,GLQ,Y,Attchd,12.100712129872347
67,7,2003,2003,1453,1479,1479,0,2003.0,2,558,RL,CollgCr,Gd,GLQ,Y,Attchd,12.328290278254423
68,4,1945,1950,747,747,747,0,1945.0,1,220,RM,OldTown,TA,Unf,Y,Attchd,11.289781913656018
69,7,1953,1953,1304,1304,2287,1,1953.0,2,667,RL,ClearCr,TA,BLQ,Y,Attchd,12.323855681186558
70,7,1973,1973,2223,2223,2223,2,1973.0,2,516,RL,NAmes,Gd,ALQ,Y,Attchd,12.404923504275338
71,4,1982,2006,845,845,845,0,1987.0,2,360,RL,Mitchel,TA,ALQ,Y,Detchd,11.771436160121729
72,7,1998,1998,832,885,1718,1,1998.0,2,427,RL,Gilbert,Gd,Unf,Y,Attchd,12.128111104060462
73,5,1954,2003,1086,1086,1086,0,1989.0,2,490,RL,NAmes,TA,ALQ,Y,Attchd,11.883799128308773
74,3,1915,1950,840,840,1605,0,1915.0,1,379,RM,OldTown,Fa,Unf,N,Detchd,11.584315461056901
75,4,1973,1973,462,526,988,0,1973.0,1,297,RM,MeadowV,Gd,GLQ,Y,BuiltIn,11.418614785498987
76,4,1956,1956,952,952,952,0,1956.0,1,283,RL,NAmes,TA,ALQ,Y,Detchd,11.818570237796182
77,5,1948,2001,672,1072,1285,0,1948.0,1,240,RM,BrkSide,TA,BLQ,Y,Detchd,11.751942365440728
78,4,1968,1968,1768,1768,1768,0,1978.5061638868744,0,0,RL,Sawyer,TA,Unf,N,No,11.824079893607152
79,5,1910,1981,440,682,1230,0,1966.0,2,440,RM,OldTown,TA,Unf,Y,Detchd,11.608235644774552
80,6,1968,1968,896,1182,2142,1,1968.0,1,509,RL,NAmes,Gd,Rec,Y,Attchd,12.173032791451973
81,6,1998,1998,1237,1337,1337,0,1998.0,2,405,RM,Mitchel,Ex,GLQ,Y,Attchd,11.941455846009388
82,8,2007,2007,1563,1563,1563,1,2007.0,3,758,RL,Somerst,Gd,GLQ,Y,Attchd,12.409013489526863
83,5,1960,1960,1065,1065,1065,0,1974.0,2,461,RL,NAmes,TA,Unf,Y,Detchd,11.747997587149712
84,7,1995,1996,384,804,1474,1,1995.0,2,400,RL,Gilbert,Gd,Unf,Y,BuiltIn,12.034691028774553
85,8,1991,1992,1288,1301,2417,1,1991.0,2,462,RL,NoRidge,Gd,Unf,Y,Attchd,12.468436909997665
86,6,2005,2005,684,684,1560,1,2005.0,2,400,RL,Gilbert,Gd,Unf,Y,BuiltIn,12.066810578196666
87,6,2009,2009,612,612,1224,0,2009.0,2,528,FV,Somerst,Gd,Unf,Y,Detchd,12.010665849187564
88,3,1915,1982,1013,1013,1526,0,1978.5061638868744,0,0,C (all),IDOTRR,TA,Unf,N,No,11.350406535472453
89,4,1994,1995,990,990,990,0,1978.5061638868744,0,0,RL,CollgCr,Gd,GLQ,Y,No,11.724805824005728
90,4,1950,1950,0,1040,1040,0,1950.0,2,420,RL,NAmes,No,No,Y,Detchd,11.607326140391713
91,5,1961,1961,1235,1235,1235,0,1961.0,2,480,RL,NAmes,TA,Rec,Y,Attchd,11.498826540590727
92,5,1921,2006,876,964,964,0,1921.0,2,432,RL,Crawfor,Gd,ALQ,Y,Detchd,12.004568269319446
93,6,1910,1998,1214,1260,2291,1,1900.0,2,506,C (all),OldTown,TA,Rec,N,Detchd,11.804848531679264
94,6,1997,1997,824,905,1786,0,1997.0,2,684,RL,CollgCr,Gd,GLQ,Y,Attchd,12.229545001715316
95,6,1993,1993,680,680,1470,1,1993.0,2,420,RL,Gilbert,Gd,ALQ,Y,BuiltIn,12.128111104060462
96,7,1999,1999,1588,1588,1588,0,1999.0,2,472,RL,CollgCr,Gd,ALQ,Y,Attchd,12.273731294003989
97,4,1965,1965,960,960,960,0,1965.0,1,432,RL,Edwards,TA,Rec,Y,Attchd,11.458997122944673
98,5,1920,1950,458,835,835,0,1920.0,1,366,RL,Edwards,TA,ALQ,N,Basment,11.326595886778735
99,4,1959,1959,950,1225,1225,0,1978.5061638868744,0,0,RL,NAmes,TA,ALQ,Y,No,11.76718001130949
100,6,1977,2001,1610,1610,1610,2,1977.0,2,480,RL,NWAmes,TA,ALQ,Y,Attchd,12.230765258120545
101,6,1985,1985,741,977,1732,1,1985.0,2,476,RL,SawyerW,Gd,Unf,Y,Attchd,12.089538829274222
102,5,1979,1979,0,1535,1535,0,1979.0,2,410,RL,SawyerW,No,No,Y,Attchd,11.686576205316552
103,7,2009,2009,1226,1226,1226,0,2009.0,3,740,RL,CollgCr,Gd,Unf,Y,Attchd,12.200557464842063
104,7,1931,1950,1040,1226,1818,2,1951.0,1,240,RM,IDOTRR,TA,LwQ,Y,Detchd,12.040608205802641
105,8,2003,2004,1053,1053,1992,1,2003.0,2,648,FV,Somerst,Ex,Unf,Y,Attchd,12.429216196844383
106,4,1885,1995,641,1047,1047,0,1954.0,1,273,RM,OldTown,Fa,Unf,Y,Detchd,11.512925464970229
107,5,1948,1950,789,789,789,0,1948.0,1,250,RM,OldTown,TA,ALQ,Y,Detchd,11.652687407345388
108,5,1919,2005,793,997,1517,0,1978.5061638868744,0,0,RM,IDOTRR,TA,Unf,N,No,11.652687407345388
109,6,1977,1977,1844,1844,1844,1,1977.0,2,546,RL,NWAmes,Gd,BLQ,Y,Attchd,12.154779351142624
110,6,1954,1972,994,1216,1855,0,1954.0,1,325,RL,Edwards,TA,Rec,Y,Attchd,11.82700601127654
111,7,2000,2000,384,774,1430,1,2000.0,2,400,RL,Gilbert,Gd,GLQ,Y,BuiltIn,12.100712129872347
112,7,2007,2007,1264,1282,2696,1,2007.0,3,792,RL,CollgCr,Ex,GLQ,Y,BuiltIn,12.858319703517948
113,6,1953,1953,1809,2259,2259,2,1953.0,2,450,RL,Crawfor,Gd,ALQ,Y,Basment,12.287652632522597
114,6,1945,2002,1028,1436,2320,1,1945.0,1,180,RL,Crawfor,TA,ALQ,Y,Detchd,12.46651198158808
115,6,1999,1999,729,729,1458,1,1999.0,2,440,FV,Somerst,Gd,GLQ,Y,Detchd,12.078239274020289
116,5,1962,1962,1092,1092,1092,1,1962.0,1,288,RL,Sawyer,TA,LwQ,Y,Attchd,11.842229212112828
117,5,2006,2007,1125,1125,1125,0,2007.0,2,430,RL,Edwards,Gd,Unf,Y,Attchd,11.951180395901384
118,7,1990,1990,1673,1699,3222,2,1990.0,3,594,RL,SawyerW,Gd,GLQ,Y,Attchd,12.676076274775909
119,6,2005,2006,728,728,1456,1,2005.0,2,390,RL,CollgCr,Gd,Unf,Y,Attchd,12.007560729337492
120,6,1969,1969,938,988,988,2,1969.0,2,540,RL,ClearCr,TA,ALQ,Y,Attchd,12.100712129872347
121,4,1939,1950,732,772,1123,0,1979.0,1,264,RM,IDOTRR,TA,Unf,Y,Detchd,11.512925464970229
122,6,1958,1958,1080,1080,1080,0,1958.0,1,288,RL,NAmes,TA,BLQ,Y,Attchd,11.820410164718188
123,6,1993,1993,1199,1199,1199,0,1993.0,2,530,RL,SawyerW,Gd,GLQ,Y,Attchd,11.94405831982697
124,6,1979,1998,1362,1586,1586,1,1979.0,2,435,RL,NWAmes,Gd,Unf,Y,Attchd,12.106252310247962
125,6,1935,1982,520,520,754,0,1978.5061638868744,0,0,RM,IDOTRR,TA,GLQ,N,No,11.344506813345266
126,6,1976,1976,1078,958,958,1,1977.0,2,440,RL,NPkVill,Gd,ALQ,Y,Attchd,11.759785542901755
127,5,1930,1950,672,840,840,1,1978.5061638868744,0,0,RM,OldTown,TA,LwQ,Y,No,11.37366339763672
128,6,1966,1966,660,660,1348,1,1966.0,2,453,RL,NAmes,TA,BLQ,Y,Attchd,11.951180395901384
129,5,1958,1991,1008,1053,1053,0,1998.0,2,750,RL,NAmes,TA,Rec,Y,2Types,11.918390573078392
130,7,1966,1966,924,1216,2157,2,1966.0,2,487,RL,NAmes,TA,Rec,Y,Attchd,12.328290278254423
131,6,2000,2000,992,1022,2054,1,2000.0,2,390,RL,Gilbert,Gd,GLQ,Y,BuiltIn,12.404923504275338
132,5,1959,2002,1063,1327,1327,0,1974.0,2,624,RL,NAmes,TA,Rec,Y,Detchd,11.923378114589433
133,8,2001,2002,1267,1296,1296,0,2001.0,2,471,RL,Timber,Ex,GLQ,Y,Attchd,12.301382825334498
134,5,1968,1993,1461,1721,1721,1,1968.0,2,440,RL,Sawyer,TA,Rec,Y,Attchd,12.100712129872347
135,7,1970,1970,1304,1682,1682,1,1970.0,2,530,RL,NWAmes,TA,Unf,Y,Attchd,12.066810578196666
136,5,1967,1967,1214,1214,1214,1,1967.0,1,318,RL,NAmes,TA,BLQ,Y,Attchd,11.870599909242044
137,7,1988,1989,1907,1959,1959,0,1989.0,3,766,RL,Mitchel,TA,Unf,Y,2Types,12.049418835484797
138,8,1999,2000,1004,1004,1852,2,1999.0,3,660,RL,CollgCr,Gd,GLQ,Y,Attchd,12.345834587905333
139,6,1997,1997,928,928,1764,0,1997.0,2,470,RL,CollgCr,Gd,GLQ,Y,Attchd,12.352335152508426
140,4,1971,1971,864,864,864,1,1978.5061638868744,0,0,RL,NAmes,TA,ALQ,Y,No,11.652687407345388
141,7,2005,2005,1734,1734,1734,0,2005.0,2,660,RL,CollgCr,Gd,GLQ,Y,Attchd,12.468436909997665
142,5,1952,1952,910,910,1385,0,2000.0,2,720,RL,NAmes,TA,Rec,Y,Detchd,12.01974306733868
143,7,1999,1999,1490,1501,1501,0,1999.0,2,577,RL,CollgCr,Gd,GLQ,Y,Attchd,12.225875272826354
144,5,1963,1963,1728,1728,1728,0,1963.0,2,504,RM,Sawyer,TA,Rec,Y,Detchd,11.736069016284437
145,6,2004,2006,970,970,1709,0,2004.0,2,380,RM,Edwards,Gd,Unf,Y,Detchd,11.77528972943772
146,5,1931,1993,715,875,875,0,1931.0,1,180,RM,BrkSide,TA,BLQ,Y,Detchd,11.56171562913966
147,7,2001,2001,884,884,2035,1,2001.0,2,434,RL,Gilbert,Gd,Unf,Y,BuiltIn,12.312682380588432
148,7,2004,2005,1080,1080,1080,0,1978.5061638868744,0,0,RL,SawyerW,Gd,GLQ,Y,No,11.856515169360305
149,5,1936,1950,896,896,1344,0,1936.0,1,240,RM,BrkSide,Gd,Unf,Y,Detchd,11.652687407345388
150,5,1975,1975,969,969,969,0,1975.0,2,440,RL,CollgCr,TA,BLQ,Y,Attchd,11.711776323715394
151,8,2007,2008,1710,1710,1710,1,2007.0,3,866,RL,NridgHt,Ex,GLQ,Y,Attchd,12.827729194939907
152,6,1971,1971,825,1097,1993,1,1971.0,2,495,RL,NWAmes,TA,Rec,Y,Attchd,12.154779351142624
153,6,1960,1975,1602,1252,1252,1,1960.0,2,564,RL,ClearCr,Gd,BLQ,Y,Attchd,12.367340793126296
154,6,1923,1950,1200,1200,1200,0,1923.0,1,312,RM,OldTown,TA,Unf,Y,Detchd,11.736069016284437
155,6,1924,1950,572,572,1096,0,1978.5061638868744,0,0,RL,Edwards,TA,Unf,N,No,11.27720313144916
156,5,1950,1950,0,1040,1040,0,1950.0,2,625,RL,NAmes,No,No,Y,Detchd,11.603679828238693
157,8,2009,2010,774,774,1968,1,2009.0,3,680,RL,Timber,Ex,Unf,Y,BuiltIn,12.504323669331189
158,7,2004,2005,991,991,1947,1,2004.0,2,678,FV,Somerst,Gd,GLQ,Y,Attchd,12.448626590364206
159,7,2005,2006,1392,1392,2462,1,2006.0,2,576,RL,Gilbert,Gd,GLQ,Y,Attchd,12.676076274775909
160,6,1984,1984,1232,1232,1232,0,1984.0,2,516,RL,Veenker,Gd,BLQ,Y,Attchd,11.998433280751929
161,9,2003,2004,1572,1572,2668,2,2003.0,3,726,RL,NridgHt,Ex,GLQ,Y,BuiltIn,12.929991484756872
162,7,2005,2005,1541,1541,1541,1,2005.0,2,532,RL,NridgHt,Gd,BLQ,Y,Attchd,12.301382825334498
163,4,1956,1956,882,882,882,0,1978.5061638868744,0,0,RL,OldTown,TA,Unf,Y,No,11.544424132029599
164,6,1926,2004,1149,1149,1616,0,1926.0,1,216,RM,OldTown,TA,LwQ,Y,Detchd,11.931635799828413
165,5,1940,1999,644,808,1355,0,1978.5061638868744,0,0,RL,Edwards,TA,ALQ,Y,No,11.755871643580617
166,5,1955,1993,1617,1867,1867,3,1955.0,1,303,RL,ClearCr,TA,LwQ,Y,Attchd,12.154779351142624
167,8,2007,2007,1582,1610,2161,1,2007.0,3,789,RL,NridgHt,Ex,GLQ,Y,Attchd,12.693498620467778
168,7,2004,2004,840,840,1720,1,2004.0,2,440,RL,Gilbert,Gd,Unf,Y,Attchd,12.119969946476761
169,8,1981,1981,1686,1707,1707,1,1981.0,2,511,RL,Timber,Gd,Unf,Y,Attchd,12.337100907936577
170,5,1941,1950,720,854,1382,0,1991.0,2,660,RM,OldTown,TA,Rec,Y,Detchd,11.763684183317412
171,6,1960,1960,1080,1656,1656,2,1960.0,2,528,RL,NAmes,TA,BLQ,Y,Attchd,12.2783933071098
172,7,1987,1987,1064,1064,1767,1,1987.0,2,504,RL,StoneBr,Gd,GLQ,Y,Attchd,12.384218830913648
173,6,1961,1961,1362,1362,1362,1,1961.0,2,504,RL,NAmes,TA,ALQ,Y,Attchd,12.0015054797889
174,6,1986,1986,1606,1651,1651,1,1986.0,2,616,RL,Timber,Gd,ALQ,Y,Attchd,12.122691036591123
175,6,1950,2001,1202,2158,2158,1,1950.0,2,576,RL,Edwards,TA,ALQ,Y,Attchd,12.400816722322686
176,6,1988,1989,1151,1164,2060,1,1988.0,2,521,RL,ClearCr,Gd,GLQ,Y,Attchd,12.259613412458204
177,5,1958,1958,1052,1252,1920,1,1958.0,2,451,RL,Sawyer,TA,ALQ,Y,Attchd,12.058152515453552
178,9,2008,2009,2216,2234,2234,1,2009.0,3,1166,RL,StoneBr,Ex,GLQ,Y,Attchd,13.1260306447518
179,5,1923,2006,968,968,968,0,1935.0,2,480,RM,OldTown,TA,Unf,Y,Detchd,11.512925464970229
180,6,2000,2000,756,769,1525,1,2000.0,2,440,FV,Somerst,Gd,GLQ,Y,Detchd,12.083905011555967
181,7,1920,1950,793,901,1802,1,1920.0,1,216,RL,Crawfor,Fa,LwQ,Y,Detchd,12.206572520571825
182,5,1957,2006,0,1340,1340,1,1957.0,1,252,RL,Edwards,No,No,Y,Attchd,11.695247021764184
183,7,2003,2003,1362,1362,2082,0,2003.0,2,484,RM,OldTown,Gd,Unf,Y,Detchd,12.206072645530174
184,5,1908,1991,504,936,1252,0,1986.0,2,576,RL,BrkSide,Fa,Unf,Y,Attchd,11.751942365440728
185,10,1892,1993,1107,1518,3608,2,1993.0,3,840,RM,OldTown,TA,Unf,Y,Detchd,13.071070083016778
186,7,1990,1991,1188,1217,1217,0,1990.0,2,497,RL,Mitchel,Gd,GLQ,Y,Attchd,12.061046873479915
187,5,1916,1987,660,808,1656,0,1916.0,1,180,RL,OldTown,Fa,Unf,Y,Detchd,11.813030057420567
188,5,1979,1979,1086,1224,1224,2,1979.0,2,528,RL,SawyerW,Gd,GLQ,Y,Detchd,11.940393392554734
189,8,2001,2002,1593,1593,1593,1,2001.0,2,682,RL,StoneBr,Ex,GLQ,Y,Attchd,12.56374708980199
190,8,1932,1994,853,1549,2727,2,1932.0,2,440,RL,Crawfor,Gd,Rec,Y,Detchd,12.66032791780777
191,7,1972,2004,725,725,1479,0,1972.0,2,484,RL,NAmes,TA,ALQ,Y,Attchd,12.122691036591123
192,7,1999,1999,1431,1431,1431,0,1999.0,2,666,RL,CollgCr,Gd,GLQ,Y,Attchd,12.165250651009918
193,7,2004,2004,970,970,1709,0,2004.0,2,380,RM,Edwards,Gd,Unf,Y,Detchd,11.77528972943772
194,5,1972,1972,864,864,864,0,1989.0,1,352,RL,CollgCr,TA,ALQ,Y,Detchd,11.751942365440728
195,6,1976,1976,855,855,1456,1,1976.0,2,440,RL,NPkVill,Gd,ALQ,Y,Attchd,11.908340237224891
196,7,2007,2007,1726,1726,1726,1,2007.0,3,786,RL,Somerst,Ex,GLQ,Y,Attchd,12.650348126203179
197,8,1918,1990,1360,1360,3112,1,1918.0,2,795,RL,NAmes,TA,GLQ,Y,Detchd,12.367340793126296
198,6,1912,1950,755,929,2229,0,1978.5061638868744,0,0,RM,OldTown,TA,Unf,Y,No,11.55214617812351
199,8,2004,2005,1713,1713,1713,1,2004.0,3,856,RL,NridgHt,Ex,GLQ,Y,Attchd,12.524162674153336
200,4,2003,2004,1121,1121,1121,0,2003.0,2,440,RM,Edwards,Gd,Unf,Y,Attchd,11.84939770159144
201,6,1977,1977,1196,1279,1279,2,1980.0,2,473,RL,Mitchel,TA,ALQ,Y,Detchd,12.052338545588132
202,6,1924,1950,617,865,1310,0,1924.0,1,398,RL,OldTown,Fa,LwQ,Y,Attchd,11.626254150277232
203,6,2004,2004,848,848,848,1,2004.0,2,420,RM,CollgCr,Gd,GLQ,Y,Attchd,11.911701584927597
204,5,1947,1950,720,720,1284,0,1948.0,1,240,RM,OldTown,TA,LwQ,Y,Detchd,11.608235644774552
205,7,1990,1990,1424,1442,1442,0,1990.0,2,500,RL,Gilbert,Gd,Unf,Y,Attchd,12.103486056755072
206,5,1962,1962,1140,1696,1696,1,1962.0,1,349,RL,Sawyer,TA,Unf,Y,Attchd,11.876873892875459
207,4,1960,1960,1100,1100,1100,1,1960.0,1,312,RL,NAmes,TA,ALQ,Y,Attchd,11.856515169360305
208,7,1988,1989,1157,1180,2062,1,1988.0,2,454,RL,SawyerW,Gd,GLQ,Y,Attchd,12.531772785169476
209,6,1964,1964,1092,1092,1092,0,1964.0,2,504,RL,NAmes,Gd,Rec,Y,Attchd,11.884489021402711
210,5,1925,1950,864,864,864,0,1978.5061638868744,0,0,RL,Edwards,TA,Rec,N,No,11.49272275765271
211,6,2009,2009,1212,1212,1212,0,2009.0,2,460,RL,Edwards,Gd,GLQ,Y,Attchd,12.133501952695338
212,7,2009,2009,900,932,1852,1,2009.0,2,644,FV,Somerst,Gd,GLQ,Y,Attchd,12.439871229831715
213,5,1995,1995,990,990,990,0,1996.0,2,576,RL,CollgCr,Gd,ALQ,Y,Attchd,11.957611286231675
214,6,1977,1977,689,689,1392,0,1977.0,1,299,RL,CollgCr,Gd,GLQ,Y,Attchd,11.993807212363148
215,5,1957,1996,1070,1236,1236,1,1957.0,1,447,RL,NAmes,TA,BLQ,Y,Attchd,11.80894766169701
216,7,2004,2004,1436,1436,1436,0,2004.0,2,484,RL,CollgCr,Gd,GLQ,Y,Attchd,12.254862809699606
217,4,1925,1950,686,810,1328,0,1940.0,1,210,RM,OldTown,TA,Unf,N,Detchd,11.580584113444043
218,7,1939,2006,798,1137,1954,2,1939.0,2,431,RL,Crawfor,TA,BLQ,Y,Attchd,12.649154617209645
219,7,2005,2006,1248,1248,1248,0,2005.0,2,438,RL,Blmngtn,Gd,GLQ,Y,Attchd,12.0271851854705
220,7,2006,2006,1498,1498,1498,0,2006.0,2,675,RL,CollgCr,Gd,Unf,Y,Attchd,12.230277334226992
221,6,2002,2002,1010,1010,2267,1,2002.0,2,390,RL,Gilbert,Gd,Unf,Y,BuiltIn,12.206072645530174
