OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,SalePrice,MSZoning,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,Fence,SaleType,SaleCondition
5,1965,1965,1040,1040,1040,1,5,0,1965.0,1,384,11.771436160121729,3.0,1.0,3.0,3.0,4.0,0.0,19.0,2.0,0.0,2.0,3.0,6.0,6.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,5.0,6.0,1.0,0.0,1.0,4.0,3.0,6.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,8.0,4.0
9,2005,2006,1175,1182,2324,3,11,2,2005.0,3,736,12.751299696013497,3.0,1.0,0.0,3.0,4.0,0.0,16.0,2.0,0.0,5.0,3.0,14.0,15.0,3.0,0.0,4.0,2.0,0.0,4.0,3.0,2.0,6.0,1.0,0.0,1.0,4.0,0.0,6.0,2.0,3.0,0.0,5.0,5.0,2.0,4.0,6.0,5.0
5,1962,1962,912,912,912,1,4,0,1962.0,1,352,11.877568578558138,3.0,1.0,1.0,3.0,4.0,0.0,19.0,2.0,0.0,2.0,3.0,6.0,10.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,0.0,6.0,1.0,4.0,1.0,4.0,3.0,6.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,8.0,4.0
7,2006,2007,1494,1494,1494,2,7,1,2006.0,3,840,12.540757571577291,3.0,1.0,0.0,3.0,4.0,0.0,5.0,2.0,0.0,2.0,1.0,12.0,13.0,3.0,2.0,4.0,2.0,2.0,4.0,0.0,6.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,6.0,5.0
6,1960,1960,1253,1253,1253,1,5,1,1960.0,1,352,11.964001084330445,3.0,1.0,0.0,3.0,0.0,0.0,12.0,2.0,0.0,2.0,3.0,8.0,8.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,1.0,6.0,1.0,4.0,1.0,4.0,3.0,6.0,1.0,1.0,2.0,5.0,5.0,2.0,1.0,8.0,4.0
7,1929,2001,832,854,854,1,5,0,1991.0,2,576,11.790557201568507,4.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,13.0,14.0,2.0,3.0,4.0,0.0,4.0,4.0,3.0,6.0,6.0,1.0,0.0,1.0,0.0,3.0,6.0,3.0,5.0,3.0,5.0,5.0,2.0,0.0,8.0,4.0
6,1970,1970,1004,1004,1004,1,5,1,1970.0,2,480,11.911701584927597,3.0,1.0,0.0,3.0,1.0,0.0,12.0,2.0,0.0,2.0,1.0,13.0,14.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,0.0,6.0,1.0,0.0,1.0,4.0,3.0,6.0,5.0,1.0,0.0,5.0,5.0,2.0,4.0,8.0,4.0
4,1967,1967,0,1296,1296,2,6,0,1967.0,2,516,11.407564949312402,3.0,1.0,3.0,3.0,4.0,0.0,19.0,2.0,2.0,2.0,1.0,8.0,8.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,3.0,6.0,3.0,4.0,3.0,5.0,5.0,2.0,4.0,8.0,4.0
5,2004,2004,1114,1114,1114,1,6,0,2004.0,2,576,11.976659481202368,3.0,1.0,3.0,3.0,4.0,0.0,20.0,5.0,0.0,2.0,1.0,12.0,13.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,8.0,4.0
5,1958,1965,1029,1339,1339,1,6,0,1958.0,1,294,11.842229212112828,3.0,1.0,3.0,3.0,4.0,0.0,12.0,2.0,0.0,2.0,3.0,3.0,10.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,6.0,1.0,4.0,1.0,4.0,3.0,2.0,3.0,1.0,3.0,5.0,5.0,2.0,2.0,0.0,0.0
8,2005,2006,1158,1158,2376,3,9,1,2005.0,3,853,12.692503112461443,3.0,1.0,0.0,3.0,0.0,0.0,16.0,2.0,0.0,5.0,1.0,12.0,13.0,1.0,2.0,4.0,2.0,0.0,4.0,0.0,6.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,2.0,3.0,2.0,5.0,5.0,2.0,4.0,6.0,5.0
7,1930,1950,637,1108,1108,1,6,1,1930.0,1,280,11.845102777308561,4.0,0.0,3.0,0.0,4.0,0.0,9.0,2.0,0.0,1.0,1.0,13.0,14.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,6.0,6.0,1.0,0.0,1.0,1.0,2.0,6.0,2.0,1.0,3.0,5.0,5.0,0.0,0.0,8.0,4.0
8,2002,2002,1777,1795,1795,2,7,1,2002.0,2,534,12.345834587905333,3.0,1.0,3.0,3.0,4.0,0.0,5.0,2.0,0.0,2.0,3.0,12.0,13.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,6.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
5,1976,1976,1040,1060,1060,1,6,1,1976.0,2,572,11.77452020265869,4.0,1.0,3.0,3.0,4.0,0.0,10.0,2.0,4.0,2.0,1.0,5.0,5.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,6.0,1.0,4.0,1.0,4.0,3.0,6.0,5.0,1.0,3.0,5.0,5.0,2.0,4.0,8.0,4.0
5,1968,2001,1060,1060,1060,1,6,1,1968.0,1,270,11.944707881395766,3.0,1.0,0.0,3.0,4.0,0.0,19.0,2.0,0.0,2.0,1.0,9.0,10.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,5.0,0.0,1.0,0.0,1.0,4.0,2.0,6.0,5.0,1.0,3.0,5.0,5.0,2.0,2.0,8.0,4.0
8,2007,2007,1566,1600,1600,2,7,1,2007.0,3,890,12.454103912352162,3.0,1.0,3.0,3.0,0.0,0.0,16.0,2.0,0.0,2.0,1.0,12.0,13.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,6.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
5,1951,2000,900,900,900,1,5,0,2005.0,2,576,11.811547477460344,3.0,1.0,3.0,3.0,0.0,0.0,12.0,2.0,0.0,2.0,1.0,13.0,14.0,2.0,3.0,4.0,1.0,4.0,4.0,2.0,1.0,5.0,1.0,4.0,1.0,4.0,2.0,6.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,8.0,4.0
8,2007,2008,1704,1704,1704,2,7,1,2008.0,3,772,12.631340380934517,3.0,1.0,3.0,3.0,4.0,0.0,16.0,2.0,0.0,2.0,1.0,12.0,13.0,3.0,2.0,4.0,2.0,0.0,4.0,3.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
5,1957,1997,1484,1600,1600,1,6,2,1957.0,1,319,12.24288661865289,3.0,1.0,0.0,3.0,1.0,0.0,12.0,2.0,0.0,2.0,1.0,8.0,8.0,2.0,3.0,4.0,1.0,4.0,4.0,1.0,1.0,6.0,1.0,4.0,1.0,4.0,3.0,6.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
4,1927,1950,520,520,520,1,4,0,1920.0,1,240,11.134589024250317,4.0,1.0,0.0,3.0,4.0,0.0,3.0,1.0,0.0,2.0,1.0,8.0,8.0,2.0,3.0,4.0,0.0,4.0,4.0,3.0,6.0,6.0,1.0,1.0,0.0,4.0,1.0,6.0,3.0,5.0,3.0,1.0,5.0,2.0,4.0,8.0,4.0
4,1920,1950,649,649,1317,1,6,0,1920.0,1,250,10.596634733096073,0.0,2.0,3.0,3.0,4.0,0.0,9.0,1.0,0.0,5.0,2.0,3.0,3.0,2.0,3.0,1.0,0.0,4.0,4.0,3.0,6.0,6.0,1.0,4.0,0.0,4.0,3.0,6.0,3.0,5.0,3.0,5.0,1.0,0.0,2.0,8.0,4.0
5,1966,2006,1228,1228,1228,1,6,0,1966.0,1,271,11.914047823644255,3.0,1.0,0.0,3.0,1.0,0.0,19.0,2.0,0.0,2.0,1.0,6.0,6.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,6.0,6.0,1.0,2.0,1.0,4.0,2.0,6.0,3.0,1.0,3.0,5.0,5.0,2.0,2.0,8.0,4.0
8,2007,2007,1234,1234,1234,2,7,0,2007.0,2,484,12.100156419938624,3.0,1.0,3.0,3.0,0.0,0.0,5.0,2.0,0.0,2.0,1.0,12.0,13.0,2.0,2.0,4.0,2.0,0.0,4.0,0.0,6.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,3.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
5,1959,1959,1398,1700,1700,1,6,1,1959.0,2,447,12.016726473799254,3.0,1.0,0.0,3.0,4.0,0.0,12.0,2.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,5.0,6.0,1.0,2.0,1.0,4.0,2.0,6.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
9,2005,2005,1561,1561,1561,2,6,1,2005.0,2,556,12.533576212168626,3.0,1.0,3.0,3.0,4.0,0.0,16.0,2.0,4.0,2.0,3.0,8.0,8.0,1.0,0.0,4.0,2.0,0.0,4.0,3.0,2.0,6.0,1.0,0.0,1.0,4.0,0.0,6.0,2.0,1.0,0.0,5.0,5.0,2.0,4.0,8.0,4.0
8,2004,2005,1117,1132,2452,3,9,1,2004.0,3,691,12.641096555879882,3.0,1.0,3.0,3.0,4.0,0.0,16.0,2.0,0.0,5.0,1.0,12.0,13.0,3.0,2.0,4.0,2.0,0.0,4.0,0.0,6.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,2.0,3.0,0.0,5.0,5.0,2.0,4.0,8.0,4.0
5,1994,1995,1097,1097,1097,1,6,0,1995.0,2,672,11.884489021402711,3.0,1.0,3.0,3.0,0.0,0.0,5.0,2.0,0.0,2.0,1.0,12.0,13.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,6.0,6.0,1.0,0.0,1.0,4.0,3.0,6.0,3.0,1.0,3.0,5.0,5.0,2.0,4.0,8.0,4.0
5,1954,1990,1297,1297,1297,1,5,1,1954.0,2,498,11.938193200374572,3.0,1.0,3.0,3.0,4.0,0.0,12.0,2.0,0.0,2.0,3.0,13.0,14.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,5.0,6.0,1.0,2.0,1.0,4.0,3.0,6.0,5.0,1.0,0.0,5.0,5.0,2.0,4.0,8.0,4.0
5,1953,2007,1057,1057,1057,1,5,0,1953.0,1,246,11.59910316121128,3.0,1.0,3.0,3.0,4.0,0.0,12.0,2.0,0.0,2.0,1.0,12.0,13.0,2.0,3.0,2.0,1.0,4.0,4.0,3.0,2.0,6.0,1.0,4.0,1.0,4.0,2.0,6.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,8.0,0.0
4,1955,1955,0,1152,1152,2,6,0,1978.5061638868744,0,0,11.314474526246391,3.0,1.0,3.0,3.0,4.0,0.0,7.0,2.0,2.0,2.0,1.0,0.0,10.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,1.0,4.0,0.0,2.0,1.0,6.0,3.0,6.0,1.0,3.0,3.0,0.0,4.0,8.0,1.0
6,1965,1965,1088,1324,1324,2,6,1,1965.0,2,440,11.982929094215963,3.0,1.0,3.0,3.0,4.0,0.0,12.0,2.0,0.0,2.0,1.0,13.0,14.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,5.0,6.0,1.0,0.0,1.0,4.0,3.0,6.0,5.0,1.0,2.0,5.0,5.0,2.0,1.0,8.0,0.0
5,1959,1959,1350,1328,1328,1,5,2,1959.0,1,308,12.043553716032399,3.0,1.0,3.0,3.0,4.0,0.0,23.0,2.0,0.0,2.0,1.0,12.0,13.0,2.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,6.0,1.0,2.0,1.0,4.0,3.0,6.0,2.0,1.0,2.0,5.0,5.0,1.0,4.0,8.0,4.0
5,1983,1983,840,884,884,1,5,0,1983.0,2,504,11.877568578558138,3.0,1.0,0.0,3.0,1.0,0.0,20.0,2.0,0.0,6.0,1.0,6.0,6.0,2.0,3.0,4.0,1.0,2.0,4.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,2.0,6.0,3.0,1.0,2.0,5.0,2.0,2.0,2.0,8.0,4.0
5,1975,1980,938,938,938,1,5,0,1977.0,1,308,11.777210959615614,3.0,1.0,0.0,3.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,12.0,13.0,2.0,3.0,4.0,1.0,2.0,4.0,0.0,3.0,1.0,1.0,4.0,1.0,4.0,3.0,6.0,3.0,5.0,3.0,5.0,5.0,2.0,2.0,8.0,4.0
5,1959,1959,1150,1150,1150,1,6,0,1959.0,1,300,11.856515169360305,3.0,1.0,3.0,3.0,4.0,0.0,12.0,2.0,0.0,2.0,1.0,3.0,14.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,6.0,3.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
9,2005,2005,1752,1752,1752,2,6,1,2005.0,2,576,12.675763725937609,3.0,1.0,3.0,3.0,4.0,0.0,16.0,2.0,4.0,2.0,3.0,8.0,8.0,1.0,0.0,4.0,2.0,0.0,4.0,3.0,2.0,6.0,1.0,0.0,1.0,4.0,0.0,6.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
7,2003,2003,1434,1518,2149,1,6,1,2003.0,2,670,12.387085012375499,3.0,1.0,0.0,3.0,1.0,0.0,11.0,2.0,0.0,0.0,1.0,12.0,13.0,2.0,2.0,4.0,2.0,0.0,4.0,3.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,0.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,0.0
8,2006,2006,1656,1656,1656,2,7,0,2006.0,3,826,12.428015476267865,1.0,1.0,3.0,3.0,4.0,0.0,21.0,2.0,0.0,2.0,1.0,12.0,13.0,2.0,2.0,4.0,2.0,2.0,4.0,0.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,3.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
4,1920,2008,736,736,1452,2,8,0,1978.5061638868744,0,0,11.635143097694478,4.0,1.0,3.0,3.0,4.0,0.0,17.0,2.0,1.0,5.0,1.0,8.0,8.0,2.0,3.0,4.0,0.0,4.0,4.0,3.0,6.0,6.0,1.0,2.0,1.0,4.0,3.0,6.0,3.0,6.0,1.0,3.0,3.0,0.0,4.0,6.0,5.0
5,1966,1966,955,955,955,1,6,0,1966.0,1,386,11.751942365440728,3.0,1.0,3.0,3.0,4.0,0.0,19.0,2.0,0.0,2.0,1.0,6.0,6.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,1.0,6.0,1.0,0.0,1.0,4.0,3.0,6.0,3.0,1.0,3.0,5.0,5.0,2.0,2.0,8.0,4.0
6,1997,1997,794,794,1470,2,6,0,1997.0,2,388,12.083905011555967,3.0,1.0,1.0,3.0,0.0,0.0,8.0,2.0,0.0,5.0,1.0,12.0,13.0,2.0,3.0,4.0,2.0,2.0,4.0,0.0,2.0,6.0,1.0,2.0,1.0,4.0,3.0,6.0,3.0,1.0,0.0,5.0,5.0,2.0,4.0,8.0,4.0
6,1934,1950,816,816,1176,1,6,1,1985.0,2,528,11.648330101976432,4.0,1.0,3.0,3.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,13.0,14.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,6.0,6.0,1.0,4.0,1.0,4.0,3.0,6.0,2.0,5.0,3.0,5.0,5.0,2.0,2.0,8.0,4.0
5,1963,1963,816,816,816,1,5,0,1963.0,2,516,11.608235644774552,4.0,1.0,1.0,0.0,0.0,1.0,9.0,8.0,2.0,2.0,1.0,13.0,14.0,2.0,1.0,4.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,4.0,0.0,4.0,3.0,6.0,3.0,4.0,3.0,5.0,5.0,2.0,4.0,8.0,4.0
9,1981,1987,1842,1842,1842,0,5,1,1981.0,3,894,12.86099861326992,3.0,1.0,0.0,2.0,4.0,0.0,24.0,2.0,0.0,2.0,1.0,14.0,15.0,2.0,2.0,4.0,1.0,0.0,4.0,1.0,2.0,6.0,1.0,2.0,1.0,4.0,2.0,6.0,2.0,1.0,0.0,5.0,5.0,2.0,4.0,8.0,4.0
5,1955,1955,384,1360,1360,1,6,1,1962.0,2,572,11.77528972943772,3.0,1.0,3.0,0.0,4.0,1.0,12.0,2.0,0.0,7.0,1.0,8.0,8.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,0.0,6.0,1.0,4.0,1.0,4.0,3.0,2.0,5.0,5.0,3.0,5.0,5.0,2.0,2.0,8.0,4.0
6,1964,1964,1425,1425,1425,2,7,1,1964.0,2,576,12.103486056755072,3.0,1.0,0.0,3.0,4.0,0.0,12.0,2.0,0.0,2.0,1.0,6.0,10.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,1.0,6.0,1.0,2.0,1.0,4.0,3.0,6.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
8,1999,2000,970,983,1739,2,7,0,1999.0,2,480,12.058152515453552,1.0,2.0,3.0,3.0,4.0,0.0,21.0,2.0,3.0,5.0,1.0,8.0,8.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,3.0,1.0,0.0,5.0,5.0,2.0,4.0,8.0,0.0
7,2004,2004,860,860,1720,2,7,0,2004.0,2,565,12.188417710291453,3.0,1.0,0.0,3.0,0.0,0.0,5.0,2.0,0.0,5.0,1.0,12.0,13.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,6.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,3.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
10,2006,2006,1410,1426,2945,3,10,1,2006.0,3,641,12.991753427493052,3.0,1.0,1.0,1.0,1.0,0.0,22.0,2.0,0.0,5.0,3.0,12.0,13.0,1.0,0.0,4.0,2.0,0.0,4.0,1.0,6.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,2.0,3.0,0.0,5.0,5.0,2.0,4.0,6.0,5.0
5,1972,1972,780,780,780,1,4,0,1973.0,1,352,11.73526869611367,3.0,1.0,3.0,0.0,4.0,0.0,5.0,2.0,0.0,2.0,1.0,6.0,6.0,2.0,3.0,4.0,1.0,4.0,4.0,0.0,0.0,6.0,1.0,0.0,1.0,4.0,3.0,6.0,3.0,5.0,3.0,5.0,5.0,2.0,2.0,8.0,4.0
6,2004,2004,1158,1158,1158,1,5,0,2006.0,2,576,11.970350312009105,3.0,1.0,3.0,3.0,4.0,0.0,20.0,5.0,0.0,2.0,1.0,12.0,13.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,0.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,6.0,5.0
5,1920,1996,530,581,1111,1,6,0,1935.0,1,288,11.522875795823397,4.0,1.0,3.0,3.0,4.0,0.0,9.0,2.0,0.0,4.0,1.0,8.0,8.0,2.0,3.0,4.0,0.0,4.0,0.0,3.0,6.0,6.0,1.0,4.0,0.0,4.0,1.0,6.0,3.0,5.0,3.0,5.0,5.0,0.0,4.0,8.0,4.0
8,2006,2006,1370,1370,1370,2,6,1,2006.0,2,484,12.218495165528731,3.0,1.0,0.0,3.0,4.0,0.0,16.0,2.0,4.0,2.0,1.0,12.0,13.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
7,1921,1950,576,902,1710,2,9,0,1990.0,2,480,11.84939770159144,4.0,1.0,0.0,0.0,4.0,0.0,17.0,6.0,0.0,5.0,1.0,11.0,12.0,2.0,3.0,4.0,0.0,4.0,4.0,3.0,6.0,6.0,1.0,2.0,1.0,4.0,3.0,6.0,3.0,5.0,3.0,5.0,5.0,2.0,0.0,8.0,4.0
7,1997,1998,1057,1057,2034,2,8,0,1998.0,2,645,12.299107511497363,3.0,1.0,3.0,3.0,4.0,0.0,5.0,2.0,0.0,5.0,1.0,12.0,13.0,1.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,3.0,1.0,2.0,5.0,5.0,2.0,0.0,8.0,4.0
8,2004,2005,1143,1143,2473,2,9,1,2004.0,3,852,12.666657052859417,3.0,1.0,3.0,3.0,4.0,0.0,16.0,2.0,0.0,5.0,1.0,12.0,13.0,1.0,2.0,4.0,2.0,0.0,4.0,0.0,6.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,2.0,3.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
7,1970,1989,1947,2207,2207,2,7,1,1970.0,2,576,12.100712129872347,3.0,1.0,3.0,3.0,4.0,0.0,12.0,3.0,0.0,2.0,1.0,9.0,10.0,1.0,3.0,4.0,1.0,2.0,4.0,1.0,2.0,6.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
7,2003,2003,1453,1479,1479,2,7,0,2003.0,2,558,12.328290278254423,3.0,1.0,0.0,3.0,4.0,0.0,5.0,2.0,0.0,2.0,1.0,12.0,13.0,1.0,2.0,4.0,2.0,2.0,4.0,0.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,3.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
4,1945,1950,747,747,747,1,4,0,1945.0,1,220,11.289781913656018,4.0,1.0,3.0,3.0,0.0,0.0,17.0,0.0,0.0,2.0,1.0,8.0,8.0,2.0,3.0,2.0,1.0,4.0,4.0,3.0,6.0,6.0,1.0,4.0,1.0,4.0,3.0,6.0,3.0,1.0,3.0,5.0,5.0,2.0,4.0,8.0,4.0
7,1953,1953,1304,1304,2287,2,7,1,1953.0,2,667,12.323855681186558,3.0,1.0,3.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,4.0,1.0,4.0,4.0,3.0,1.0,6.0,2.0,4.0,1.0,4.0,3.0,6.0,5.0,1.0,0.0,5.0,5.0,2.0,4.0,8.0,4.0
7,1973,1973,2223,2223,2223,2,8,2,1973.0,2,516,12.404923504275338,3.0,1.0,0.0,3.0,4.0,0.0,12.0,2.0,0.0,2.0,1.0,9.0,10.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,0.0,6.0,1.0,0.0,1.0,4.0,3.0,6.0,2.0,1.0,0.0,5.0,5.0,2.0,4.0,8.0,4.0
